gchr	fend	sstart	tag	fgeneid	sgeneid	len1	len2	id	distance	cdis
chr10	467148	467231	Convergent	YJR018W	YJR019C	363	1050	p3116	83	<=250
chr16	232509	232592	Convergent	YPL168W	YPL167C	1293	4515	p5615	83	<=250
chr16	661053	661136	Convergent	YPR048W	YPR049C	1872	3537	p5825	83	<=250
chr11	135705	135789	Codirectional-	YKL166C	YKL165C-A	1197	234	p3304	84	<=250
chr13	244064	244148	Codirectional+	YML014W	YML013W	840	1755	p4205	84	<=250
chr8	481919	482004	Convergent	YHR187W	YHR188C	930	1833	p2637	85	<=250
chr9	57252	57337	Convergent	YIL152W	YIL151C	708	3357	p2696	85	<=250
chr12	178621	178706	Convergent	YLR017W	YLR018C	1014	900	p3649	85	<=250
chr12	871367	871452	Codirectional-	YLR373C	YLR374C	2706	390	p4000	85	<=250
chr13	404237	404322	Convergent	YMR066W	YMR067C	2697	1251	p4286	85	<=250
chr2	105221	105307	Codirectional+	YBL063W	YBL062W	3336	381	p148	86	<=250
chr10	151626	151712	Convergent	YJL140W	YJL139C	666	1287	p2968	86	<=250
chr15	643307	643393	Convergent	YOR163W	YOR164C	567	939	p5282	86	<=250
chr4	263225	263312	Convergent	YDL112W	YDL111C	4311	798	p812	87	<=250
chr5	343232	343319	Convergent	YER092W	YER093C	378	4293	p1621	87	<=250
chr7	617989	618076	Convergent	YGR064W	YGR065C	369	1782	p2157	87	<=250
chr10	87495	87582	Convergent	YJL181W	YJL180C	1836	978	p2931	87	<=250
chr14	38554	38641	Codirectional+	YNL320W	YNL319W	855	441	p4575	87	<=250
chr15	103229	103316	Convergent	YOL115W	YOL114C	1755	609	p5006	87	<=250
chr5	243611	243699	Codirectional+	YER046W	YER046W-A	432	330	p1567	88	<=250
chr10	54290	54378	Divergent	YJL202C	YJL201W	348	1800	p2913	88	<=250
chr13	99400	99488	Divergent	YML085C	YML084W	1460	309	p4135	88	<=250
chr13	733456	733544	Codirectional+	YMR230W-A	YMR231W	189	3090	p4457	88	<=250
chr14	381391	381479	Divergent	YNL130C-A	YNL129W	147	723	p4751	88	<=250
chr11	430108	430197	Convergent	YKL007W	YKL006C-A	807	435	p3460	89	<=250
chr12	267723	267812	Convergent	YLR066W	YLR067C	555	2898	p3697	89	<=250
chr13	565909	565998	Codirectional-	YMR153C-A	YMR154C	336	2184	p4374	89	<=250
chr14	58808	58897	Convergent	YNL306W	YNL305C	654	894	p4588	89	<=250
chr2	383021	383111	Divergent	YBR072C-A	YBR073W	162	2877	p286	90	<=250
chr3	249202	249292	Convergent	YCR075W-A	YCR076C	228	753	p647	90	<=250
chr4	781950	782040	Convergent	YDR163W	YDR164C	528	2175	p1069	90	<=250
chr7	37526	37616	Convergent	YGL247W	YGL246C	594	1164	p1865	90	<=250
chr10	180103	180193	Divergent	YJL128C	YJL127W-A	2007	117	p2981	90	<=250
chr14	648937	649027	Convergent	YNR012W	YNR013C	1506	2685	p4888	90	<=250
chr15	248301	248391	Convergent	YOL044W	YOL043C	1152	1143	p5077	90	<=250
chr3	240011	240102	Convergent	YCR069W	YCR071C	957	441	p641	91	<=250
chr9	423036	423127	Codirectional+	YIR036W-A	YIR037W	402	492	p2887	91	<=250
chr12	892900	892991	Codirectional-	YLR384C	YLR385C	4050	399	p4009	91	<=250
chr13	388730	388821	Divergent	YMR057C	YMR058W	372	1911	p4277	91	<=250
chr14	539819	539910	Convergent	YNL048W	YNL047C	1647	1971	p4830	91	<=250
chr2	112708	112800	Convergent	YBL058W	YBL057C	1272	627	p153	92	<=250
chr9	177250	177342	Codirectional-	YIL101C	YIL100C-A	1944	339	p2748	92	<=250
chr14	96080	96172	Codirectional+	YNL286W	YNL285W	858	372	p4606	92	<=250
chr4	829057	829150	Codirectional+	YDR182W	YDR182W-A	1476	204	p1091	93	<=250
chr11	420061	420154	Convergent	YKL012W	YKL011C	1752	1062	p3455	93	<=250
chr12	522012	522105	Divergent	YLR183C	YLR184W	1470	348	p3824	93	<=250
chr14	45214	45307	Convergent	YNL314W	YNL313C	768	2715	p4580	93	<=250
chr1	11951	12045	Divergent	YAL065C	YAL064W-B	387	381	p6	94	<=250
chr2	805256	805350	Divergent	YBR298C-A	YBR299W	222	1755	p514	94	<=250
chr4	141114	141208	Convergent	YDL178W	YDL177C	1593	513	p748	94	<=250
chr5	44925	45019	Convergent	YEL058W	YEL057C	1674	702	p1459	94	<=250
chr7	1076504	1076598	Divergent	YGR291C	YGR292W	222	1755	p2377	94	<=250
chr15	266169	266263	Convergent	YOL032W	YOL031C	741	1266	p5088	94	<=250
chr7	457067	457162	Convergent	YGL021W	YGL020C	2283	708	p2072	95	<=250
chr11	397248	397343	Codirectional-	YKL022C	YKL021C	2523	1407	p3444	95	<=250
chr12	266277	266372	Convergent	YLR064W	YLR065C	822	546	p3695	95	<=250
chr13	261609	261704	Convergent	YML005W	YML004C	1389	981	p4215	95	<=250
chr14	299558	299653	Convergent	YNL181W	YNL180C	1224	996	p4702	95	<=250
chr14	677103	677198	Convergent	YNR028W	YNR029C	927	1290	p4903	95	<=250
chr15	113130	113225	Codirectional+	YOL107W	YOL106W	1029	354	p5014	95	<=250
chr15	679261	679356	Codirectional+	YOR183W	YOR184W	390	1188	p5300	95	<=250
chr2	427058	427154	Codirectional-	YBR090C	YBR091C	726	330	p305	96	<=250
chr8	27881	27977	Convergent	YHL036W	YHL035C	1641	4779	p2397	96	<=250
chr12	622821	622917	Convergent	YLR241W	YLR242C	2349	966	p3876	96	<=250
chr13	542881	542977	Convergent	YMR136W	YMR137C	1683	1986	p4358	96	<=250
chr16	504242	504338	Convergent	YPL024W	YPL023C	726	1974	p5755	96	<=250
chr2	72972	73069	Convergent	YBL081W	YBL080C	1107	1626	p133	97	<=250
chr4	734803	734900	Convergent	YDR140W	YDR141C	666	5097	p1049	97	<=250
chr4	935138	935235	Convergent	YDR235W	YDR236C	1635	657	p1142	97	<=250
chr5	48373	48470	Convergent	YEL056W	YEL055C	1206	3069	p1461	97	<=250
chr7	974777	974874	Codirectional-	YGR240C-A	YGR241C	201	1707	p2331	97	<=250
chr12	872728	872825	Convergent	YLR375W	YLR376C	1032	729	p4001	97	<=250
chr13	824631	824728	Convergent	YMR278W	YMR279C	1869	1623	p4507	97	<=250
chr16	791120	791217	Convergent	YPR127W	YPR128C	1038	987	p5895	97	<=250
chr10	85336	85434	Convergent	YJL183W	YJL182C	1269	318	p2930	98	<=250
chr11	405091	405189	Convergent	YKL018W	YKL017C	990	2052	p3449	98	<=250
chr16	366430	366528	Convergent	YPL097W	YPL096C-A	1479	207	p5683	98	<=250
