gchr	gstart	gend	gname	collision	collisiontype	DistanceGroup
chr13	70623	73920	YML100W	headon500	headon	500
chr13	74228	74558	YML099W-A	codirectional500	codirectional	500
chr13	74397	77040	YML099C	headon500	headon	500
chr13	814363	815311	YMR274C	codirectional500	codirectional	500
chr13	815650	818581	YMR275C	headon500	headon	500
chr13	896913	897603	YMR311C	codirectional500	codirectional	500
chr13	898404	899226	YMR312W	codirectional500	codirectional	500
chr13	92234	94241	YML088W	headon500	headon	500
chr13	94430	95369	YML087C	headon500	headon	500
chr14	322218	323565	YNL166C	headon500	headon	500
chr14	545267	545877	YNL044W	headon500	headon	500
chr14	545588	545909	YNL043C	codirectional500	codirectional	500
chr14	606318	609453	YNL014W	headon500	headon	500
chr14	609132	609510	YNL013C	codirectional500	codirectional	500
chr14	609685	611665	YNL012W	codirectional500	codirectional	500
chr14	634343	635297	YNR003C	codirectional500	codirectional	500
chr14	635942	636383	YNR004W	codirectional500	codirectional	500
chr15	113225	113579	YOL106W	headon500	headon	500
chr15	114137	115808	YOL105C	headon500	headon	500
chr15	165713	166952	YOL083W	headon500	headon	500
chr15	166460	166601	YOL083C-A	codirectional500	codirectional	500
chr15	277085	277604	YOL024W	headon500	headon	500
chr15	278055	280086	YOL023W	codirectional500	codirectional	500
chr15	307937	309041	YOL010W	headon500	headon	500
chr15	309323	310139	YOL009C	headon500	headon	500
chr15	334508	337343	YOR005C	codirectional500	codirectional	500
chr15	337679	338621	YOR006C	headon500	headon	500
chr15	34657	35407	YOL154W	headon500	headon	500
chr15	487706	489734	YOR087W	headon500	headon	500
chr15	490195	490828	YOR089C	headon500	headon	500
chr15	83833	85264	YOL125W	headon500	headon	500
chr15	85455	86757	YOL124C	headon500	headon	500
chr15	855146	860258	YOR290C	headon500	headon	500
chr15	870201	874071	YOR296W	headon500	headon	500
chr15	874742	875321	YOR297C	headon500	headon	500
chr15	907725	907935	YOR316C-A	codirectional500	codirectional	500
chr15	981811	982162	YOR345C	headon500	headon	500
chr15	981827	984785	YOR346W	codirectional500	codirectional	500
chr16	289668	291051	YPL139C	headon500	headon	500
chr16	383454	384408	YPL087W	headon500	headon	500
chr16	384772	386446	YPL086C	headon500	headon	500
chr16	415762	418027	YPL074W	headon500	headon	500
chr16	418498	418984	YPL073C	headon500	headon	500
chr16	418511	420011	YPL072W	codirectional500	codirectional	500
chr16	455758	456664	YPL054W	headon500	headon	500
chr16	457117	458458	YPL053C	headon500	headon	500
chr16	511100	511664	YPL021W	headon500	headon	500
chr16	561503	563768	YPR003C	codirectional500	codirectional	500
chr16	631514	633761	YPR031W	headon500	headon	500
chr16	634122	637224	YPR032W	codirectional500	codirectional	500
chr16	682940	684353	YPR068C	codirectional500	codirectional	500
chr16	684555	685437	YPR069C	headon500	headon	500
chr16	71062	73006	YPL253C	codirectional500	codirectional	500
chr16	73362	73881	YPL252C	headon500	headon	500
chr16	73624	73927	YPL251W	codirectional500	codirectional	500
chr16	818322	819075	YPR143W	headon500	headon	500
chr16	819764	821423	YPR144C	headon500	headon	500
chr16	841265	842669	YPR157W	headon500	headon	500
chr16	843261	844020	YPR158W	codirectional500	codirectional	500
chr2	207193	209224	YBL009W	headon500	headon	500
chr2	209652	212175	YBL008W	codirectional500	codirectional	500
chr2	237152	237467	YBL001C	codirectional500	codirectional	500
chr2	255372	255684	YBR009C	headon500	headon	500
chr2	324340	326059	YBR044C	codirectional500	codirectional	500
chr2	376573	378433	YBR069C	codirectional500	codirectional	500
chr2	379220	379934	YBR070C	headon500	headon	500
chr2	484741	486691	YBR123C	codirectional500	codirectional	500
chr2	487198	488380	YBR125C	headon500	headon	500
chr2	620871	622527	YBR200W	headon500	headon	500
chr2	622982	623147	YBR200W-A	codirectional500	codirectional	500
chr2	629167	631942	YBR203W	headon500	headon	500
chr2	632253	633381	YBR204C	headon500	headon	500
chr2	645	1128	YBL113W-A	codirectional500	codirectional	500
chr2	800522	801929	YBR297W	headon500	headon	500
chr2	802630	804475	YBR298C	headon500	headon	500
chr3	108020	108791	YCL005W	headon500	headon	500
chr3	109104	110670	YCL004W	codirectional500	codirectional	500
chr3	132272	133124	YCR010C	headon500	headon	500
chr3	167369	167999	YCR027C	headon500	headon	500
chr3	224398	224734	YCR060W	headon500	headon	500
chr3	39785	40724	YCL049C	headon500	headon	500
chr3	74703	75285	YCL026C-A	headon500	headon	500
chr4	1017000	1017318	YDR278C	headon500	headon	500
chr4	1159607	1161320	YDR343C	headon500	headon	500
chr4	122215	123589	YDL189W	headon500	headon	500
chr4	123864	124998	YDL188C	headon500	headon	500
chr4	1353724	1354633	YDR446W	codirectional500	codirectional	500
chr4	1459727	1461554	YDR506C	codirectional500	codirectional	500
chr4	1462357	1465786	YDR507C	headon500	headon	500
chr4	211374	212046	YDL139C	codirectional500	codirectional	500
chr4	231023	231899	YDL129W	headon500	headon	500
chr4	232651	233887	YDL128W	codirectional500	codirectional	500
chr4	326612	329567	YDL073W	headon500	headon	500
chr4	329835	330447	YDL072C	headon500	headon	500
chr4	408450	409857	YDL024C	headon500	headon	500
chr4	461841	462516	YDR007W	headon500	headon	500
chr4	482669	483860	YDR018C	codirectional500	codirectional	500
chr4	484162	485365	YDR019C	headon500	headon	500
chr4	553253	555152	YDR049W	headon500	headon	500
chr4	555725	556472	YDR050C	headon500	headon	500
chr4	565926	567555	YDR057W	headon500	headon	500
chr4	567722	568703	YDR058C	headon500	headon	500
chr4	806620	807748	YDR171W	codirectional500	codirectional	500
chr4	912098	913502	YDR223W	headon500	headon	500
chr4	914316	914712	YDR224C	headon500	headon	500
chr4	917570	921647	YDR227W	headon500	headon	500
chr4	921925	923806	YDR228C	headon500	headon	500
chr5	144326	145334	YEL006W	headon500	headon	500
chr5	145906	146755	YEL005C	headon500	headon	500
chr5	172633	173338	YER010C	codirectional500	codirectional	500
chr5	191958	192624	YER018C	codirectional500	codirectional	500
chr5	192796	194230	YER019W	codirectional500	codirectional	500
chr5	212586	213177	YER029C	headon500	headon	500
chr5	263	4097	YEL077C	codirectional500	codirectional	500
chr5	298949	301616	YER070W	headon500	headon	500
chr5	301946	302327	YER071C	headon500	headon	500
chr5	351697	353236	YER096W	headon500	headon	500
chr5	404812	406387	YER123W	headon500	headon	500
chr5	407341	409063	YER124C	headon500	headon	500
chr5	4184	5114	YEL076C-A	headon500	headon	500
chr5	4463	5114	YEL076C	headon500	headon	500
chr5	499346	500348	YER161C	headon500	headon	500
chr5	569607	569907	YER188C-A	headon500	headon	500
chr5	58377	59148	YEL051W	headon500	headon	500
chr5	59548	59740	YEL050W-A	codirectional500	codirectional	500
chr5	59669	60851	YEL050C	headon500	headon	500
chr5	90257	93905	YEL031W	headon500	headon	500
chr5	94582	94897	YEL030C-A	headon500	headon	500
chr6	103982	104462	YFL017C	codirectional500	codirectional	500
chr6	104700	106236	YFL016C	headon500	headon	500
chr6	116144	118484	YFL009W	headon500	headon	500
chr6	167887	168496	YFR012W	codirectional500	codirectional	500
chr6	196832	199034	YFR022W	headon500	headon	500
chr6	199873	201709	YFR023W	codirectional500	codirectional	500
chr7	163408	165091	YGL179C	headon500	headon	500
chr7	202720	203833	YGL159W	headon500	headon	500
chr7	284441	285947	YGL119W	headon500	headon	500
chr7	385195	388732	YGL062W	headon500	headon	500
chr7	388967	389711	YGL061C	headon500	headon	500
chr7	485422	485533	YGL006W-A	codirectional500	codirectional	500
chr7	508109	508364	YGR008C	codirectional500	codirectional	500
chr7	509046	511002	YGR009C	headon500	headon	500
chr7	574887	575199	YGR039W	codirectional500	codirectional	500
chr7	656959	659770	YGR089W	headon500	headon	500
chr7	713708	715046	YGR110W	headon500	headon	500
chr7	715827	717030	YGR111W	codirectional500	codirectional	500
chr7	833351	834482	YGR168C	codirectional500	codirectional	500
chr7	834688	835903	YGR169C	headon500	headon	500
chr7	888881	889622	YGR195W	codirectional500	codirectional	500
chr8	110027	111317	YHR003C	codirectional500	codirectional	500
chr8	111753	113094	YHR004C	headon500	headon	500
chr8	297384	298609	YHR097C	headon500	headon	500
chr8	445712	447605	YHR171W	headon500	headon	500
chr8	62960	64157	YHL022C	codirectional500	codirectional	500
chr8	64461	65859	YHL021C	headon500	headon	500
chr8	92626	94510	YHL008C	codirectional500	codirectional	500
chr8	95117	97937	YHL007C	headon500	headon	500
chr9	102781	105676	YIL130W	headon500	headon	500
chr9	106106	113237	YIL129C	headon500	headon	500
chr9	174581	174887	YIL102C	codirectional500	codirectional	500
chr9	175306	177250	YIL101C	headon500	headon	500
chr9	212498	214703	YIL078W	headon500	headon	500
chr9	214990	215953	YIL077C	headon500	headon	500
chr9	246913	247198	YIL058W	headon500	headon	500
chr9	247901	248396	YIL057C	headon500	headon	500
chr9	309385	310426	YIL023C	codirectional500	codirectional	500
chr9	311164	312460	YIL022W	codirectional500	codirectional	500
chr9	356142	356895	YIR001C	codirectional500	codirectional	500
chr9	357414	360396	YIR002C	headon500	headon	500
chr9	410806	411838	YIR029W	headon500	headon	500
chr9	412035	412770	YIR030C	headon500	headon	500
chr9	74183	75773	YIL146C	headon500	headon	500
chr1	120224	124295	YAL017W	headon1000	headon	1000
chr1	124754	125069	YAL016C-A	headon1000	headon	1000
chr1	124878	126786	YAL016W	codirectional1000	codirectional	1000
chr1	147593	151166	YAL001C	headon1000	headon	1000
chr1	158965	159793	YAR008W	headon1000	headon	1000
chr1	160596	164187	YAR009C	headon1000	headon	1000
chr1	174997	175330	YAR019W-A	headon1000	headon	1000
chr1	176855	177023	YAR020C	headon1000	headon	1000
chr1	1806	2169	YAL068C	headon1000	headon	1000
chr1	334	649	YAL069W	headon1000	headon	1000
chr1	537	792	YAL068W-A	headon1000	headon	1000
chr10	160618	161563	YJL133W	headon1000	headon	1000
chr10	161913	164166	YJL132W	codirectional1000	codirectional	1000
chr10	198677	203325	YJL113W	headon1000	headon	1000
chr10	227326	227776	YJL104W	headon1000	headon	1000
chr10	229024	230881	YJL103C	headon1000	headon	1000
chr10	368747	373799	YJL039C	codirectional1000	codirectional	1000
chr10	375114	375774	YJL038C	headon1000	headon	1000
chr10	417561	419562	YJL010C	headon1000	headon	1000
chr10	442908	444861	YJR004C	headon1000	headon	1000
chr10	453682	454681	YJR009C	codirectional1000	codirectional	1000
chr10	458076	458361	YJR010C-A	codirectional1000	codirectional	1000
chr10	459794	460418	YJR012C	headon1000	headon	1000
chr10	608304	608858	YJR094W-A	headon1000	headon	1000
chr10	609772	610741	YJR095W	codirectional1000	codirectional	1000
chr10	611194	612043	YJR096W	headon1000	headon	1000
chr10	613185	615156	YJR098C	headon1000	headon	1000
chr10	63804	67569	YJL197W	headon1000	headon	1000
chr10	67849	68782	YJL196C	headon1000	headon	1000
chr10	678956	683285	YJR137C	codirectional1000	codirectional	1000
chr10	684566	689321	YJR138W	codirectional1000	codirectional	1000
chr10	97736	99467	YJL172W	headon1000	headon	1000
chr10	99703	100894	YJL171C	headon1000	headon	1000
chr11	153268	153706	YKL160W	codirectional1000	codirectional	1000
chr11	153815	154451	YKL159C	headon1000	headon	1000
chr11	210592	212332	YKL124W	headon1000	headon	1000
chr11	212042	212423	YKL123W	headon1000	headon	1000
chr11	212494	212998	YKL122C	codirectional1000	codirectional	1000
chr11	214141	216700	YKL121W	codirectional1000	codirectional	1000
chr11	258502	258913	YKL097C	headon1000	headon	1000
chr11	299581	301882	YKL072W	headon1000	headon	1000
chr11	328117	329443	YKL059C	codirectional1000	codirectional	1000
chr11	330165	330534	YKL058W	codirectional1000	codirectional	1000
chr11	389379	389883	YKL026C	headon1000	headon	1000
chr11	411618	416913	YKL014C	codirectional1000	codirectional	1000
chr11	417507	418023	YKL013C	headon1000	headon	1000
chr11	448520	450167	YKR005C	headon1000	headon	1000
chr11	53703	55602	YKL204W	headon1000	headon	1000
chr11	55934	63359	YKL203C	headon1000	headon	1000
chr11	608945	611066	YKR090W	headon1000	headon	1000
chr11	612664	613885	YKR092C	headon1000	headon	1000
chr11	96756	98157	YKL184W	headon1000	headon	1000
chr11	98720	99641	YKL183W	codirectional1000	codirectional	1000
chr12	151388	153977	YLR001C	headon1000	headon	1000
chr12	154342	156334	YLR002C	codirectional1000	codirectional	1000
chr12	156854	157730	YLR003C	headon1000	headon	1000
chr12	229965	230451	YLR042C	codirectional1000	codirectional	1000
chr12	231701	232013	YLR043C	headon1000	headon	1000
chr12	371619	372927	YLR113W	headon1000	headon	1000
chr12	410722	412414	YLR134W	headon1000	headon	1000
chr12	413280	415527	YLR135W	codirectional1000	codirectional	1000
chr12	511053	512940	YLR177W	headon1000	headon	1000
chr12	513161	513821	YLR178C	headon1000	headon	1000
chr12	600018	602463	YLR228C	codirectional1000	codirectional	1000
chr12	620472	622821	YLR241W	headon1000	headon	1000
chr12	622917	623883	YLR242C	headon1000	headon	1000
chr12	642626	644336	YLR253W	headon1000	headon	1000
chr12	644403	644973	YLR254C	codirectional1000	codirectional	1000
chr12	645599	645953	YLR255C	headon1000	headon	1000
chr12	658825	659791	YLR257W	headon1000	headon	1000
chr12	660715	662833	YLR258W	codirectional1000	codirectional	1000
chr12	683671	687202	YLR272C	codirectional1000	codirectional	1000
chr12	728954	730301	YLR300W	headon1000	headon	1000
chr12	730824	731559	YLR301W	codirectional1000	codirectional	1000
chr12	744150	744851	YLR306W	headon1000	headon	1000
chr12	745619	746525	YLR307W	codirectional1000	codirectional	1000
chr12	88622	91349	YLL026W	headon1000	headon	1000
chr12	947252	947978	YLR411W	headon1000	headon	1000
chr12	948367	949192	YLR412W	codirectional1000	codirectional	1000
chr13	135499	137158	YML069W	headon1000	headon	1000
chr13	137549	138944	YML068W	codirectional1000	codirectional	1000
chr13	153218	158258	YML059C	codirectional1000	codirectional	1000
chr13	158759	158966	YML058W-A	headon1000	headon	1000
chr13	159382	159697	YML058W	codirectional1000	codirectional	1000
chr13	160022	160412	YML057C-A	headon1000	headon	1000
chr13	181473	183363	YML046W	headon1000	headon	1000
chr13	184460	185783	YML045W-A	codirectional1000	codirectional	1000
chr13	184460	189729	YML045W	codirectional1000	codirectional	1000
chr13	261704	262685	YML004C	codirectional1000	codirectional	1000
chr13	263482	264355	YML003W	codirectional1000	codirectional	1000
chr13	285099	286317	YMR010W	headon1000	headon	1000
chr13	30610	31684	YML119W	headon1000	headon	1000
chr13	32333	33851	YML118W	codirectional1000	codirectional	1000
chr13	368093	370517	YMR049C	codirectional1000	codirectional	1000
chr13	431768	432125	YMR082C	codirectional1000	codirectional	1000
chr13	502143	502734	YMR118C	codirectional1000	codirectional	1000
chr13	534943	535570	YMR132C	codirectional1000	codirectional	1000
chr13	536206	537609	YMR133W	codirectional1000	codirectional	1000
chr13	553361	554390	YMR144W	headon1000	headon	1000
chr13	554792	556475	YMR145C	headon1000	headon	1000
chr13	611015	611255	YMR175W	headon1000	headon	1000
chr13	611739	615975	YMR176W	codirectional1000	codirectional	1000
chr13	647117	649280	YMR192W	headon1000	headon	1000
chr13	650035	650812	YMR193W	codirectional1000	codirectional	1000
chr13	70623	73920	YML100W	headon1000	headon	1000
chr13	74228	74558	YML099W-A	codirectional1000	codirectional	1000
chr13	74397	77040	YML099C	headon1000	headon	1000
chr13	814363	815311	YMR274C	codirectional1000	codirectional	1000
chr13	815650	818581	YMR275C	headon1000	headon	1000
chr13	896913	897603	YMR311C	codirectional1000	codirectional	1000
chr13	898404	899226	YMR312W	codirectional1000	codirectional	1000
chr13	92234	94241	YML088W	headon1000	headon	1000
chr13	94430	95369	YML087C	headon1000	headon	1000
chr14	319415	321359	YNL167C	codirectional1000	codirectional	1000
chr14	322218	323565	YNL166C	headon1000	headon	1000
chr14	545267	545877	YNL044W	headon1000	headon	1000
chr14	545588	545909	YNL043C	codirectional1000	codirectional	1000
chr14	559813	560479	YNL036W	headon1000	headon	1000
chr14	606318	609453	YNL014W	headon1000	headon	1000
chr14	609132	609510	YNL013C	codirectional1000	codirectional	1000
chr14	609685	611665	YNL012W	codirectional1000	codirectional	1000
chr14	634343	635297	YNR003C	codirectional1000	codirectional	1000
chr14	635942	636383	YNR004W	codirectional1000	codirectional	1000
chr14	87896	88736	YNL289W	headon1000	headon	1000
chr14	90302	91424	YNL288W	codirectional1000	codirectional	1000
chr15	1051289	1052930	YOR380W	headon1000	headon	1000
chr15	112101	113130	YOL107W	headon1000	headon	1000
chr15	113225	113579	YOL106W	headon1000	headon	1000
chr15	114137	115808	YOL105C	headon1000	headon	1000
chr15	165713	166952	YOL083W	headon1000	headon	1000
chr15	166460	166601	YOL083C-A	codirectional1000	codirectional	1000
chr15	228613	229834	YOL054W	codirectional1000	codirectional	1000
chr15	274956	276939	YOL025W	headon1000	headon	1000
chr15	277085	277604	YOL024W	headon1000	headon	1000
chr15	278055	280086	YOL023W	codirectional1000	codirectional	1000
chr15	307937	309041	YOL010W	headon1000	headon	1000
chr15	309323	310139	YOL009C	headon1000	headon	1000
chr15	334508	337343	YOR005C	codirectional1000	codirectional	1000
chr15	337679	338621	YOR006C	headon1000	headon	1000
chr15	34657	35407	YOL154W	headon1000	headon	1000
chr15	433687	436345	YOR058C	codirectional1000	codirectional	1000
chr15	487706	489734	YOR087W	headon1000	headon	1000
