chr	start	end	width	score	Overlap	genestart	geneend	geneID	collisiontype	DistanceGroup	sample
chr10	159087	162582	3495	6.94102654148032	669	161913	164166	YJL132W	codirectional	5000	Top2
chr10	159087	162582	3495	6.94102654148032	669	161913	164166	YJL132W	codirectional	10000	Top2
chr10	159087	162582	3495	6.94102654148032	669	161913	164166	YJL132W	codirectional	2000	Top2
chr10	159087	162582	3495	6.94102654148032	669	161913	164166	YJL132W	codirectional	1000	Top2
chr10	195368	196580	1212	4.38841634726412	294	196286	197126	YJL115W	headon	10000	Top2
chr10	197003	197415	412	2.42377059379898	123	196286	197126	YJL115W	headon	10000	Top2
chr10	204705	206035	1330	4.1575134855477	731	205304	207449	YJL112W	codirectional	5000	Top2
chr10	204705	206035	1330	4.1575134855477	731	205304	207449	YJL112W	codirectional	2000	Top2
chr10	204705	206035	1330	4.1575134855477	731	205304	207449	YJL112W	codirectional	10000	Top2
chr10	209620	210039	419	1.99872464380616	118	209921	211577	YJL110C	headon	10000	Top2
chr10	223749	225634	1885	7.09499425223814	580	225054	226737	YJL105W	headon	5000	Top2
chr10	223749	225634	1885	7.09499425223814	580	225054	226737	YJL105W	headon	2000	Top2
chr10	223749	225634	1885	7.09499425223814	580	225054	226737	YJL105W	headon	10000	Top2
chr10	227696	229126	1430	4.53676125429333	80	227326	227776	YJL104W	headon	5000	Top2
chr10	227696	229126	1430	4.53676125429333	80	227326	227776	YJL104W	headon	2000	Top2
chr10	227696	229126	1430	4.53676125429333	80	227326	227776	YJL104W	headon	1000	Top2
chr10	227696	229126	1430	4.53676125429333	80	227326	227776	YJL104W	headon	10000	Top2
chr10	227696	229126	1430	4.53676125429333	102	229024	230881	YJL103C	headon	5000	Top2
chr10	227696	229126	1430	4.53676125429333	102	229024	230881	YJL103C	headon	10000	Top2
chr10	227696	229126	1430	4.53676125429333	102	229024	230881	YJL103C	headon	2000	Top2
chr10	227696	229126	1430	4.53676125429333	102	229024	230881	YJL103C	headon	1000	Top2
chr10	230704	231883	1179	5.23924284683301	177	229024	230881	YJL103C	headon	5000	Top2
chr10	230704	231883	1179	5.23924284683301	177	229024	230881	YJL103C	headon	10000	Top2
chr10	230704	231883	1179	5.23924284683301	177	229024	230881	YJL103C	headon	2000	Top2
chr10	230704	231883	1179	5.23924284683301	177	229024	230881	YJL103C	headon	1000	Top2
chr10	230704	231883	1179	5.23924284683301	583	231300	233760	YJL102W	codirectional	5000	Top2
chr10	230704	231883	1179	5.23924284683301	583	231300	233760	YJL102W	codirectional	10000	Top2
chr10	235096	235310	214	1.56103690792743	214	234319	236356	YJL101C	headon	10000	Top2
chr10	235649	237805	2156	9.31916371527008	707	234319	236356	YJL101C	headon	10000	Top2
chr10	235649	237805	2156	9.31916371527008	543	237262	239086	YJL100W	codirectional	10000	Top2
chr10	359666	361589	1923	9.04929720940358	341	361248	365445	YJL042W	headon	10000	Top2
chr10	365458	365973	515	2.52010948252183	190	365783	368373	YJL041W	headon	10000	Top2
chr10	373865	375553	1688	4.37290703780904	439	375114	375774	YJL038C	headon	2000	Top2
chr10	373865	375553	1688	4.37290703780904	439	375114	375774	YJL038C	headon	5000	Top2
chr10	373865	375553	1688	4.37290703780904	439	375114	375774	YJL038C	headon	1000	Top2
chr10	373865	375553	1688	4.37290703780904	439	375114	375774	YJL038C	headon	10000	Top2
chr10	373865	375553	1688	4.37290703780904	439	375114	375774	YJL038C	headon	500	Top2
chr10	378315	379110	795	4.19078743520117	286	378824	380096	YJL036W	codirectional	10000	Top2
chr10	378315	379110	795	4.19078743520117	286	378824	380096	YJL036W	codirectional	5000	Top2
chr10	380681	384292	3611	3.9240093294859	320	380248	381001	YJL035C	headon	10000	Top2
chr10	380681	384292	3611	3.9240093294859	2049	381326	383375	YJL034W	codirectional	10000	Top2
chr10	380681	384292	3611	3.9240093294859	456	383836	386149	YJL033W	codirectional	10000	Top2
chr10	410870	411975	1105	3.52594958234655	170	409492	411040	YJL013C	codirectional	10000	Top2
chr10	410870	411975	1105	3.52594958234655	742	411233	413399	YJL012C	codirectional	5000	Top2
chr10	410870	411975	1105	3.52594958234655	742	411233	413399	YJL012C	codirectional	10000	Top2
chr10	413307	414584	1277	5.96166663728782	92	411233	413399	YJL012C	codirectional	5000	Top2
chr10	413307	414584	1277	5.96166663728782	92	411233	413399	YJL012C	codirectional	10000	Top2
chr10	413307	414584	1277	5.96166663728782	300	414284	414770	YJL011C	codirectional	10000	Top2
chr10	413307	414584	1277	5.96166663728782	300	414284	414770	YJL011C	codirectional	5000	Top2
chr10	417276	418902	1626	2.54145030551505	1341	417561	419562	YJL010C	headon	5000	Top2
chr10	417276	418902	1626	2.54145030551505	1341	417561	419562	YJL010C	headon	1000	Top2
chr10	417276	418902	1626	2.54145030551505	1341	417561	419562	YJL010C	headon	2000	Top2
chr10	417276	418902	1626	2.54145030551505	1341	417561	419562	YJL010C	headon	10000	Top2
chr10	419636	420701	1065	3.44052897929364	327	419854	420181	YJL009W	codirectional	10000	Top2
chr10	419636	420701	1065	3.44052897929364	327	419854	420181	YJL009W	codirectional	5000	Top2
chr10	419636	420701	1065	3.44052897929364	745	419956	421663	YJL008C	headon	10000	Top2
chr10	419636	420701	1065	3.44052897929364	745	419956	421663	YJL008C	headon	5000	Top2
chr10	423896	425544	1648	5.36098670421416	213	423137	424109	YJL006C	headon	10000	Top2
chr10	423896	425544	1648	5.36098670421416	388	425156	431237	YJL005W	codirectional	10000	Top2
chr10	431910	433079	1169	4.11088859104347	357	432643	433000	YJL003W	headon	10000	Top2
chr10	434843	435740	897	3.4073727615223	578	435162	435926	YJL001W	headon	10000	Top2
chr10	442195	444011	1816	3.18608659637212	1103	442908	444861	YJR004C	headon	5000	Top2
chr10	442195	444011	1816	3.18608659637212	1103	442908	444861	YJR004C	headon	1000	Top2
chr10	442195	444011	1816	3.18608659637212	1103	442908	444861	YJR004C	headon	500	Top2
chr10	442195	444011	1816	3.18608659637212	1103	442908	444861	YJR004C	headon	2000	Top2
chr10	445942	446154	212	1.96209757929329	212	445922	448025	YJR005W	codirectional	5000	Top2
chr10	451966	456459	4493	5.99114045897823	1017	452429	453446	YJR008W	headon	2000	Top2
chr10	451966	456459	4493	5.99114045897823	1017	452429	453446	YJR008W	headon	5000	Top2
chr10	451966	456459	4493	5.99114045897823	999	453682	454681	YJR009C	codirectional	250	Top2
chr10	451966	456459	4493	5.99114045897823	999	453682	454681	YJR009C	codirectional	2000	Top2
chr10	451966	456459	4493	5.99114045897823	999	453682	454681	YJR009C	codirectional	1000	Top2
chr10	451966	456459	4493	5.99114045897823	999	453682	454681	YJR009C	codirectional	500	Top2
chr10	458136	458955	819	2.70527585839404	225	458076	458361	YJR010C-A	codirectional	1000	Top2
chr10	458136	458955	819	2.70527585839404	225	458076	458361	YJR010C-A	codirectional	2000	Top2
chr10	459797	461017	1220	2.70509742750242	621	459794	460418	YJR012C	headon	1000	Top2
chr10	459797	461017	1220	2.70509742750242	621	459794	460418	YJR012C	headon	500	Top2
chr10	459797	461017	1220	2.70509742750242	621	459794	460418	YJR012C	headon	5000	Top2
chr10	459797	461017	1220	2.70509742750242	621	459794	460418	YJR012C	headon	2000	Top2
chr10	459797	461017	1220	2.70509742750242	636	460381	461593	YJR013W	codirectional	2000	Top2
chr10	459797	461017	1220	2.70509742750242	636	460381	461593	YJR013W	codirectional	5000	Top2
chr10	461807	463225	1418	4.13557334881588	597	461828	462425	YJR014W	codirectional	5000	Top2
chr10	461807	463225	1418	4.13557334881588	505	462720	464253	YJR015W	codirectional	5000	Top2
chr10	466209	467313	1104	2.27314188652126	513	466520	467033	YJR017C	headon	10000	Top2
chr10	466209	467313	1104	2.27314188652126	363	466785	467148	YJR018W	codirectional	10000	Top2
chr10	466209	467313	1104	2.27314188652126	82	467231	468281	YJR019C	headon	10000	Top2
chr10	468266	469216	950	4.35389591828813	15	467231	468281	YJR019C	headon	10000	Top2
chr10	468266	469216	950	4.35389591828813	67	468000	468333	YJR020W	codirectional	10000	Top2
chr10	468266	469216	950	4.35389591828813	662	468554	469579	YJR021C	headon	10000	Top2
chr10	532249	532385	136	1.59227051027177	136	532061	533759	YJR052W	headon	10000	Top2
chr10	538562	539095	533	1.96196535060001	324	538771	539266	YJR055W	headon	2000	Top2
chr10	538562	539095	533	1.96196535060001	324	538771	539266	YJR055W	headon	10000	Top2
chr10	538562	539095	533	1.96196535060001	324	538771	539266	YJR055W	headon	5000	Top2
chr10	541711	543251	1540	2.77215198680776	711	541791	542502	YJR056C	headon	5000	Top2
chr10	541711	543251	1540	2.77215198680776	711	541791	542502	YJR056C	headon	2000	Top2
chr10	541711	543251	1540	2.77215198680776	711	541791	542502	YJR056C	headon	10000	Top2
chr10	544121	544621	500	2.65063364974654	500	544061	544712	YJR057W	codirectional	5000	Top2
chr10	544121	544621	500	2.65063364974654	500	544061	544712	YJR057W	codirectional	10000	Top2
chr10	544984	546277	1293	4.64851909937944	191	544731	545175	YJR058C	headon	10000	Top2
chr10	544984	546277	1293	4.64851909937944	191	544731	545175	YJR058C	headon	5000	Top2
chr10	544984	546277	1293	4.64851909937944	491	545786	548243	YJR059W	codirectional	10000	Top2
chr10	548215	549173	958	2.13215838727717	28	545786	548243	YJR059W	codirectional	10000	Top2
chr10	548215	549173	958	2.13215838727717	415	548758	549814	YJR060W	codirectional	10000	Top2
chr10	59777	61101	1324	5.20829281812826	327	59855	60182	YJL199C	codirectional	10000	Top2
chr10	606499	609785	3286	5.07647088714341	554	608304	608858	YJR094W-A	headon	1000	Top2
chr10	606499	609785	3286	5.07647088714341	554	608304	608858	YJR094W-A	headon	2000	Top2
chr10	59777	61101	1324	5.20829281812826	258	60843	63489	YJL198W	headon	5000	Top2
chr10	59777	61101	1324	5.20829281812826	258	60843	63489	YJL198W	headon	10000	Top2
chr10	606499	609785	3286	5.07647088714341	13	609772	610741	YJR095W	codirectional	1000	Top2
chr10	606499	609785	3286	5.07647088714341	13	609772	610741	YJR095W	codirectional	2000	Top2
chr10	606499	609785	3286	5.07647088714341	13	609772	610741	YJR095W	codirectional	500	Top2
chr10	610585	611264	679	1.77091862758952	156	609772	610741	YJR095W	codirectional	1000	Top2
chr10	610585	611264	679	1.77091862758952	156	609772	610741	YJR095W	codirectional	2000	Top2
chr10	610585	611264	679	1.77091862758952	156	609772	610741	YJR095W	codirectional	500	Top2
chr10	610585	611264	679	1.77091862758952	70	611194	612043	YJR096W	headon	1000	Top2
chr10	611780	613038	1258	3.59415174624354	263	611194	612043	YJR096W	headon	1000	Top2
chr10	613466	614199	733	2.36512065626963	733	613185	615156	YJR098C	headon	500	Top2
chr10	613466	614199	733	2.36512065626963	733	613185	615156	YJR098C	headon	2000	Top2
chr10	613466	614199	733	2.36512065626963	733	613185	615156	YJR098C	headon	1000	Top2
chr10	620458	621540	1082	2.86566158008936	787	620753	622490	YJR103W	codirectional	10000	Top2
chr10	621937	625114	3177	4.1175154926182	553	620753	622490	YJR103W	codirectional	10000	Top2
chr10	621937	625114	3177	4.1175154926182	465	622549	623014	YJR104C	headon	10000	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	5000	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	10000	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	2000	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	1000	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	250	Top2
chr10	68630	69398	768	4.75701156733544	152	67849	68782	YJL196C	headon	500	Top2
chr10	681410	681848	438	2.16346531550921	438	678956	683285	YJR137C	codirectional	10000	Top2
chr10	681410	681848	438	2.16346531550921	438	678956	683285	YJR137C	codirectional	500	Top2
chr10	681410	681848	438	2.16346531550921	438	678956	683285	YJR137C	codirectional	5000	Top2
chr10	681410	681848	438	2.16346531550921	438	678956	683285	YJR137C	codirectional	1000	Top2
chr10	681410	681848	438	2.16346531550921	438	678956	683285	YJR137C	codirectional	2000	Top2
chr10	682974	683768	794	1.75431085179464	311	678956	683285	YJR137C	codirectional	10000	Top2
chr10	682974	683768	794	1.75431085179464	311	678956	683285	YJR137C	codirectional	500	Top2
chr10	682974	683768	794	1.75431085179464	311	678956	683285	YJR137C	codirectional	5000	Top2
chr10	682974	683768	794	1.75431085179464	311	678956	683285	YJR137C	codirectional	1000	Top2
chr10	682974	683768	794	1.75431085179464	311	678956	683285	YJR137C	codirectional	2000	Top2
chr10	685035	685071	36	1.4228785645935	36	684566	689321	YJR138W	codirectional	10000	Top2
chr10	685035	685071	36	1.4228785645935	36	684566	689321	YJR138W	codirectional	1000	Top2
chr10	685035	685071	36	1.4228785645935	36	684566	689321	YJR138W	codirectional	5000	Top2
chr10	685035	685071	36	1.4228785645935	36	684566	689321	YJR138W	codirectional	2000	Top2
chr10	68630	69398	768	4.75701156733544	158	69240	69942	YJL195C	headon	10000	Top2
chr10	68630	69398	768	4.75701156733544	158	69240	69942	YJL195C	headon	2000	Top2
chr10	68630	69398	768	4.75701156733544	158	69240	69942	YJL195C	headon	5000	Top2
chr10	68630	69398	768	4.75701156733544	61	69337	70879	YJL194W	codirectional	2000	Top2
chr10	68630	69398	768	4.75701156733544	61	69337	70879	YJL194W	codirectional	5000	Top2
chr10	68630	69398	768	4.75701156733544	61	69337	70879	YJL194W	codirectional	10000	Top2
chr10	70941	71610	669	4.39121286379967	245	71365	72574	YJL193W	codirectional	5000	Top2
chr10	70941	71610	669	4.39121286379967	245	71365	72574	YJL193W	codirectional	10000	Top2
chr10	73748	74994	1246	6.25594193789438	825	73786	74611	YJL191W	codirectional	10000	Top2
chr10	73748	74994	1246	6.25594193789438	85	74909	75302	YJL190C	headon	10000	Top2
chr10	76292	76548	256	1.85119228562257	182	75932	76474	YJL189W	codirectional	10000	Top2
chr10	76292	76548	256	1.85119228562257	218	76201	76510	YJL188C	headon	10000	Top2
chr10	90094	91314	1220	6.16169093780369	3	89281	90097	YJL178C	codirectional	10000	Top2
chr10	90094	91314	1220	6.16169093780369	529	90785	91657	YJL177W	headon	10000	Top2
chr10	96423	97948	1525	4.34193095265881	106	96160	96529	YJL173C	codirectional	5000	Top2
chr10	96423	97948	1525	4.34193095265881	106	96160	96529	YJL173C	codirectional	10000	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	2000	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	5000	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	500	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	1000	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	250	Top2
chr10	96423	97948	1525	4.34193095265881	212	97736	99467	YJL172W	headon	10000	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	5000	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	10000	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	1000	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	250	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	500	Top2
chr10	100456	102213	1757	6.54711437717454	438	99703	100894	YJL171C	headon	2000	Top2
chr11	100751	101368	617	1.64610906003345	617	100670	106826	YKL182W	codirectional	5000	Top2
chr11	100751	101368	617	1.64610906003345	617	100670	106826	YKL182W	codirectional	10000	Top2
chr11	102480	102726	246	1.89396950075583	246	100670	106826	YKL182W	codirectional	5000	Top2
chr11	102480	102726	246	1.89396950075583	246	100670	106826	YKL182W	codirectional	10000	Top2
chr11	106641	107268	627	2.09158351192705	185	100670	106826	YKL182W	codirectional	5000	Top2
chr11	106641	107268	627	2.09158351192705	185	100670	106826	YKL182W	codirectional	10000	Top2
chr11	154750	155042	292	1.67742779018195	52	154990	158232	YKL157W	codirectional	10000	Top2
chr11	154750	155042	292	1.67742779018195	52	154990	158232	YKL157W	codirectional	5000	Top2
chr11	154750	155042	292	1.67742779018195	52	154990	158232	YKL157W	codirectional	2000	Top2
chr11	155371	155509	138	1.55810904776969	138	154990	158232	YKL157W	codirectional	10000	Top2
chr11	155371	155509	138	1.55810904776969	138	154990	158232	YKL157W	codirectional	5000	Top2
chr11	155371	155509	138	1.55810904776969	138	154990	158232	YKL157W	codirectional	2000	Top2
chr11	202927	204160	1233	6.45613695353477	620	203540	205253	YKL127W	headon	10000	Top2
chr11	205145	205629	484	2.90397177819781	108	203540	205253	YKL127W	headon	10000	Top2
chr11	207496	208471	975	3.56628169671186	253	205706	207749	YKL126W	headon	10000	Top2
chr11	207496	208471	975	3.56628169671186	225	208246	210130	YKL125W	headon	10000	Top2
chr11	207496	208471	975	3.56628169671186	225	208246	210130	YKL125W	headon	5000	Top2
chr11	209652	211161	1509	7.77381680195498	478	208246	210130	YKL125W	headon	10000	Top2
chr11	209652	211161	1509	7.77381680195498	478	208246	210130	YKL125W	headon	5000	Top2
chr11	209652	211161	1509	7.77381680195498	569	210592	212332	YKL124W	headon	10000	Top2
chr11	209652	211161	1509	7.77381680195498	569	210592	212332	YKL124W	headon	1000	Top2
chr11	209652	211161	1509	7.77381680195498	569	210592	212332	YKL124W	headon	2000	Top2
chr11	209652	211161	1509	7.77381680195498	569	210592	212332	YKL124W	headon	5000	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	1000	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	5000	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	250	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	500	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	10000	Top2
chr11	212873	213660	787	3.88604954038751	125	212494	212998	YKL122C	codirectional	2000	Top2
chr11	216893	217442	549	1.68456274130297	99	217343	218318	YKL120W	codirectional	10000	Top2
chr11	216893	217442	549	1.68456274130297	99	217343	218318	YKL120W	codirectional	5000	Top2
chr11	219948	220479	531	1.99035904920906	156	220323	220974	YKL117W	codirectional	10000	Top2
chr11	247986	248838	852	3.81308821683172	306	248061	248367	YKL102C	codirectional	10000	Top2
chr11	255452	255752	300	2.02996156410449	8	253696	255460	YKL100C	codirectional	10000	Top2
chr11	255452	255752	300	2.02996156410449	8	253696	255460	YKL100C	codirectional	5000	Top2
chr11	255452	255752	300	2.02996156410449	33	255719	256472	YKL099C	codirectional	5000	Top2
chr11	255452	255752	300	2.02996156410449	33	255719	256472	YKL099C	codirectional	2000	Top2
chr11	255452	255752	300	2.02996156410449	33	255719	256472	YKL099C	codirectional	10000	Top2
chr11	256226	256322	96	1.60525585993929	96	255719	256472	YKL099C	codirectional	5000	Top2
chr11	256226	256322	96	1.60525585993929	96	255719	256472	YKL099C	codirectional	2000	Top2
chr11	256226	256322	96	1.60525585993929	96	255719	256472	YKL099C	codirectional	10000	Top2
chr11	258152	262215	4063	7.69841385508022	411	258502	258913	YKL097C	headon	10000	Top2
chr11	258152	262215	4063	7.69841385508022	411	258502	258913	YKL097C	headon	2000	Top2
chr11	258152	262215	4063	7.69841385508022	411	258502	258913	YKL097C	headon	1000	Top2
chr11	258152	262215	4063	7.69841385508022	411	258502	258913	YKL097C	headon	5000	Top2
chr11	258152	262215	4063	7.69841385508022	150	259072	259222	YKL096C-B	headon	2000	Top2
chr11	258152	262215	4063	7.69841385508022	150	259072	259222	YKL096C-B	headon	5000	Top2
chr11	258152	262215	4063	7.69841385508022	150	259072	259222	YKL096C-B	headon	10000	Top2
chr11	258152	262215	4063	7.69841385508022	279	259252	259531	YKL096W-A	codirectional	10000	Top2
chr11	258152	262215	4063	7.69841385508022	279	259252	259531	YKL096W-A	codirectional	5000	Top2
chr11	258152	262215	4063	7.69841385508022	279	259252	259531	YKL096W-A	codirectional	2000	Top2
chr11	258152	262215	4063	7.69841385508022	720	261131	261851	YKL096W	codirectional	10000	Top2
chr11	258152	262215	4063	7.69841385508022	720	261131	261851	YKL096W	codirectional	5000	Top2
chr11	264067	264602	535	2.22451716058301	223	263348	264290	YKL094W	codirectional	10000	Top2
chr11	298994	299631	637	2.81875545452035	81	296429	299075	YKL073W	headon	5000	Top2
chr11	298994	299631	637	2.81875545452035	81	296429	299075	YKL073W	headon	10000	Top2
chr11	298994	299631	637	2.81875545452035	50	299581	301882	YKL072W	headon	500	Top2
chr11	298994	299631	637	2.81875545452035	50	299581	301882	YKL072W	headon	5000	Top2
chr11	298994	299631	637	2.81875545452035	50	299581	301882	YKL072W	headon	2000	Top2
